3/2/12-3/3/12,124
3/9/12-3/10/12,111
3/16/12-3/17/12,152
3/23/12-3/24/12,130
3/30/12-3/31/12,130
4/6/12-4/7/12,127
4/13/12-4/14/12,141
4/20/12-4/21/12,111
4/27/12-4/28/12,126
5/4/12-5/5/12,121
5/11/12-5/12/12,124
5/18/12-5/19/12,105
5/25/12-5/26/12,134
6/1/12-6/2/12,104
6/8/12-6/9/12,114
6/15/12-6/16/12,147
6/22/12-6/23/12,143
6/29/12-6/30/12,133
7/6/12-7/7/12,129
7/13/12-7/14/12,111
7/20/12-7/21/12,138
7/27/12-7/28/12,140
8/3/12-8/4/12,138
8/10/12-8/11/12,123
8/17/12-8/18/12,141
8/24/12-8/25/12,119
3/1/13-3/2/13,164
3/8/13-3/9/13,134
3/15/13-3/16/13,129
3/22/13-3/23/13,112
3/29/13-3/30/13,128
4/5/13-4/6/13,132
4/12/13-4/13/13,113
4/19/13-4/20/13,135
4/26/13-4/27/13,125
5/3/13-5/4/13,128
5/10/13-5/11/13,135
5/18/13-5/19/13,143
5/25/13-5/26/13,116
5/31/13-6/01/13,112
6/7/13-6/8/13,127
6/14/13-6/15/13,133
6/21/13-6/22/13,145
6/28/13-6/29/13,137
7/5/13-7/6/13,133
7/12/13-7/13/13,139
7/19/13-7/20/13,160
7/26/13-7/27/13,134
8/2/13-8/3/13,138
8/9/13-8/10/13,140
8/16/13-8/17/13,147
8/23/13-8/24/13,149
8/30/13-8/31/13,121
3/7/14-3/8/14,122
3/14/14-3/15/14,142
3/21/14-3/22/14,125
3/28/14-3/29/14,138
4/4/14-4/5/14,119
4/11/14-4/12/14,139
4/18/14-4/19/14,124
4/25/14-4/26/14,116
5/2/14-5/3/14,151
5/9/14-5/10/14,127
5/16/14-5/17/14,151
5/23/14-5/24/14,130
5/30/14-5/31/14,116
6/6/14-6/7/14,141
6/13/14-6/14/14,135
6/20/14-6/21/14,142
6/27/14-6/28/14,159
7/4/14-7/5/14,130
7/11/14-7/12/14,125
7/18/14-7/19/14,134
7/25/14-7/26/14,139
