yearOpened,nday,zipcode,longitude,latitude,case#
2013,30,02116,-71.07237,42.348549,101000825093
2013,30,02643,-71.11896,42.30624,101000825096
2013,30,02215,-71.094489,42.347312,101000825101
2013,30,02130,-71.11359,42.31204,101000825103
2013,31,02108,-71.06567,42.35723,101000828812
2013,31,02643,-71.07131,42.3459,101000828815
2013,31,02128,-71.039589,42.377486,101000828816
2013,31,02643,-71.068853,42.271392,101000828818
2013,31,02643,-71.06938,42.28542,101000828820
2013,31,02199,-71.08384,42.34657,101000828825
2013,31,02199,-71.08384,42.34657,101000828826
2013,32,02643,-71.124757,42.266665,101000829104
2013,32,02116,-71.0724,42.34675,101000829106
2013,32,02643,-71.06459,42.37502,101000829107
2013,32,02125,-71.0554,42.3188,101000829108
2013,32,02643,-71.05505,42.28747,101000829109
2013,32,02643,-71.06967,42.34672,101000829110
2013,32,02643,-71.033443,42.364683,101000829111
2013,32,02125,-71.05498,42.31315,101000829113
2013,32,02643,-71.13782,42.34682,101000829115
2013,32,02643,-71.13782,42.34682,101000829117
2013,32,02135,-71.151457,42.346634,101000829120
2013,33,02118,-71.0637,42.34385,101000833575
2013,33,02643,-71.10029,42.27806,101000833576
2013,33,02125,-71.05692,42.3166,101000833578
2013,33,02127,-71.056519,42.342726,101000833580
2013,33,02643,-71.09953,42.320619,101000833582
2013,33,02119,-71.0587,42.3594,101000833587
2013,33,02113,-71.052983,42.366688,101000833588
2013,34,02132,-71.13871,42.29516,101000833793
2013,34,02116,-71.07582,42.35338,101000833796
2013,34,02119,-71.09348,42.33034,101000833797
2013,34,02215,-71.094144,42.346944,101000833799
2013,34,02215,-71.094144,42.346944,101000833801
2013,34,02124,-71.08408,42.28798,101000833805
2013,34,02643,-71.14771,42.27206,101000833807
2013,34,02135,-71.15249,42.34512,101000833808
2013,34,02128,-71.03897,42.37729,101000833809
2013,35,02124,-71.07351,42.28935,101000837649
2013,35,02643,-71.06383,42.32509,101000837650
2013,35,02111,-71.062401,42.349005,101000837654
2013,35,02643,-71.068853,42.271392,101000837655
2013,35,02643,-71.0587,42.3594,101000837656
2013,35,02128,-71.04018,42.37272,101000837658
2013,35,02643,-71.050254,42.363289,101000837661
2013,35,02643,-71.0587,42.3594,101000837662
2013,35,02643,-71.050254,42.363289,101000837663
2013,35,02124,-71.070338,42.290292,101000837665
2013,35,02643,-71.050254,42.363289,101000837666
2013,35,02643,-71.0587,42.3594,101000837667
2013,35,02119,-71.09502,42.3283,101000837669
2013,35,02126,-71.08272,42.26999,101000837672
2013,35,02643,-71.099495,42.320992,101000837673
